name,status,taxa,state_count
Australian Lesser Noddy,Vulnerable,Birds,1
Silver-headed Antechinus,Endangered,Mammals,1
Black-tailed Antechinus,Endangered,Mammals,2
Fawn Antechinus,Vulnerable,Mammals,1
Swamp Antechinus (mainland),Vulnerable,Mammals,2
Slender Tailflower,Vulnerable,Plants,1
Kangaroo Island Little Wattlebird,Vulnerable,Birds,1
Regent Honeyeater,Critically Endangered,Birds,5
Phillip Island Wheat Grass,Critically Endangered,Plants,1
"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Invertebrates,1
"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Critically Endangered,Plants,2
-,Vulnerable,Plants,1
Southern Whiteface,Vulnerable,Birds,7
"Fine-leaved Apium, Porongurup Celery",Vulnerable,Plants,1
Tasman Starling,Extinct,Birds,1
-,Endangered,Plants,1
an aquatic herb,Endangered,Plants,1
"Eared Worm-lizard, Mallee Worm-lizard",Endangered,Reptiles,2
"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Reptiles,3
Flinders Ranges Worm-lizard,Vulnerable,Reptiles,1
"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Birds,1
"Bacon Wood, Tulip Siris",Vulnerable,Plants,1
"Myola Palm, Myola Archontophoenix",Endangered,Plants,1
Subantarctic Fur-seal,Endangered,Mammals,1
Sooty Shearwater,Vulnerable,Birds,6
Ruddy Turnstone,Vulnerable,Birds,7
Australian Fritillary,Critically Endangered,Invertebrates,2
Shining Cudweed,Vulnerable,Plants,3
-,Vulnerable,Plants,1
-,Endangered,Plants,1
Thompson's wiregrass,Endangered,Plants,1
Hairy-joint Grass,Vulnerable,Plants,2
Trailing Woodruff,Vulnerable,Plants,1
Kangaroo Island Woodruff,Vulnerable,Plants,1
Maidenhair Spleenwort,Vulnerable,Plants,2
Christmas Island Spleenwort,Critically Endangered,Plants,0
-,Vulnerable,Plants,1
-,Vulnerable,Plants,1
Pouched Frog,Vulnerable,Frogs,2
"Mount Wollumbin Hip-pocket Frog, Wollumbin Pouched Frog",Critically Endangered,Frogs,1
"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Invertebrates,1
Tall Astelia,Vulnerable,Plants,1
White Star-bush,Critically Endangered,Plants,1
Dungowan Starbush,Critically Endangered,Plants,1
