CommonName,TaxonomicGroup,MaxStatus,State,RegionCentroidLatitude,RegionCentroidLongitude,ManagementCategory,TimeSeriesID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340414_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,70.0,0.0,0.0,26.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340426_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.0,,,,,3.0,39.0,259.0,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-32.76422562,134.4945286,Unknown,1067_2_1985_340430_u153b,,,,,,,,,,,,,,,,130.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340434_u153b,0.0,,,,,,,,,,,,,,,,45.0,,,,,,,1.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,1067_2_1985_340437_u153b,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,21.0,,,,,121.0,0.0,0.0,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340438_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-32.76422562,134.4945286,Unknown,1067_2_1985_340439_u153b,,,,,,,,,,,,,,,,,,,,,,,,,421.0,51.0,130.0,39.0,121.0,,200.0,189.0,,,,,0.0,6.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,1067_2_1985_340441_u153b,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,31.0,7.0,10.0,6.0,3.0,3.0,2.0,4.0,4.0,4.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,1067_2_1985_340443_u153b,,,,,,,,,,,,,,,,,,,,,,,,,17.0,158.0,,,28.0,140.0,2250.0,361.0,1660.0,,,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-33.89498572,122.5968524,Unknown,1067_2_1985_340446_u153b,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,,0.0,0.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.79845532,134.7934883,Unknown,1067_2_1985_340448_u153b,,63.0,52.0,37.0,0.0,40.0,,,,,,,,,4.0,38.0,,,5.0,,,,,,14.0,30.0,27.0,,60.0,80.0,14.0,,,,8.0,,6.0,0.0
Yakutian Bar-tailed Godwit,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,1067_2_1985_340458_u153b,0.0,,,,,,,,,,,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,
Yakutian Bar-tailed Godwit,Birds,Endangered,South Australia,-33.79845532,134.7934883,Unknown,1067_2_1985_340461_u153b,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,30.0,12.0,23.0,,,0.0,0.0,0.0,,,,,,
