lat,lon,group,n
-34.23,119.15,Mammals,5
-20.41,147.91,Birds,5
-20.94,117.31,Birds,5
-32.41,117.18,Mammals,5
-32.07,127.55,Birds,5
-31.11,152.37,Birds,5
-31.2,151.67,Plants,5
-31.08,127.69,Birds,5
-22.5,122.25,Birds,5
-12.96,133.07,Birds,5
-42.57,145.62,Mammals,5
-34.8,145.15,Reptiles,5
-33.37,141.86,Birds,4
-30.9,133.06,Birds,4
-25.42,150.8,Birds,4
-22.62,114.54,Birds,4
-35.64,140.61,Birds,4
-42.57,145.62,Birds,4
-33.5,142.3,Birds,4
-36.84,148.02,Plants,4
-30.8,115.86,Birds,4
-26.33,152.08,Mammals,4
-37.22,144.88,Amphibians,4
-31.74,145.3,Birds,4
-27.23,147.46,Birds,4
-33.65,146.39,Plants,4
-33.56,142.55,Amphibians,4
-17.43,145.54,Mammals,4
-26.64,119.07,Birds,4
-26.95,139.77,Plants,4
-33.06,119.03,Birds,4
-36.14,149.11,Plants,4
-31.92,115.49,Mammals,4
-15.93,135.27,Birds,4
-41.88,146.31,Birds,4
-34.66,150.88,Plants,4
-19.2,138.51,Birds,4
-31.82,142.63,Birds,4
-30.57,138.8,Mammals,4
-22.06,143.42,Birds,4
-32.44,151.51,Mammals,4
-33.06,119.03,Plants,4
-30.43,152.93,Plants,4
-24.23,151.77,Mammals,4
-30.39,152.4,Birds,4
-22.06,143.42,Mammals,4
-24.11,122.31,Birds,4
-30.47,145.17,Birds,4
-24.11,142.17,Mammals,4
-38.76,143.69,Mammals,4
-27.76,152.61,Plants,4
-32.44,151.51,Birds,4
-23.16,148.75,Birds,4
-38.97,146.39,Birds,4
-34.98,150.3,Plants,4
-24.23,151.77,Amphibians,4
-21.09,149.38,Mammals,4
-37.21,146.85,Birds,4
-32.37,152.3,Plants,4
-34.22,151.01,Mammals,4
-25.1,152.81,Reptiles,4
-25.02,114.41,Mammals,4
-20.05,130.85,Birds,4
-19.65,145.77,Mammals,3
-40.44,147.82,Plants,3
-38.51,142.54,Mammals,3
-23.48,130.47,Reptiles,3
-25.27,148.22,Plants,3
-40.69,147.81,Birds,3
-22.93,150.25,Birds,3
-22.6,119.52,Birds,3
-27.56,149.28,Birds,3
-22.41,114.42,Mammals,3
-15.71,120.83,Reptiles,3
-15.68,132.72,Birds,3
-34.06,141.5,Birds,3
-25.75,113.0,Birds,3
-25.88,141.22,Birds,3
-17.91,127.22,Birds,3
-16.59,145.71,Mammals,3
-34.85,149.07,Amphibians,3
-27.08,130.49,Birds,3
-27.04,144.84,Mammals,3
-17.44,145.76,Mammals,3
-24.25,150.79,Mammals,3
-16.92,133.61,Birds,3
-33.69,151.32,Amphibians,3
-26.67,151.87,Mammals,3
-32.37,152.3,Reptiles,3
-28.18,120.39,Mammals,3
-33.01,122.45,Birds,3
-36.54,142.17,Reptiles,3
-32.02,151.04,Birds,3
-29.15,151.2,Plants,3
-35.61,141.57,Plants,3
-37.26,142.38,Plants,3
-35.59,148.32,Birds,3
-33.14,149.99,Birds,3
-30.43,152.93,Reptiles,3
-36.14,149.11,Birds,3
-28.17,153.68,Mammals,3
-35.84,144.79,Plants,3
-29.58,152.1,Birds,3
-27.99,147.82,Birds,3
-31.8,151.8,Reptiles,3
-36.08,148.47,Plants,3
-29.47,151.39,Plants,3
-30.18,152.61,Mammals,2
-30.46,152.22,Birds,2
-36.88,146.76,Plants,2
-30.22,150.11,Birds,2
-21.48,148.93,Mammals,2
-34.22,151.01,Reptiles,2
-34.14,147.3,Amphibians,2
-22.41,114.42,Reptiles,2
-32.44,123.88,Birds,2
-30.04,151.9,Plants,2
-22.61,117.48,Mammals,2
-22.67,150.55,Mammals,2
-20.83,135.09,Birds,2
-22.73,150.72,Birds,2
-29.82,153.42,Amphibians,2
-23.1,140.4,Mammals,2
-29.82,153.42,Plants,2
-23.42,134.72,Birds,2
-23.51,116.74,Birds,2
-35.96,150.25,Plants,2
-24.18,150.37,Birds,2
-29.54,152.84,Mammals,2
-29.5,151.8,Birds,2
-30.5,151.07,Plants,2
-27.63,137.72,Mammals,2
-34.22,151.01,Plants,2
-16.59,145.71,Amphibians,2
-34.7,116.16,Mammals,2
-34.7,116.16,Plants,2
-12.86,141.95,Mammals,2
-36.27,146.83,Plants,2
-13.44,134.76,Birds,2
-14.29,131.65,Reptiles,2
-31.92,115.49,Reptiles,2
-31.94,127.57,Birds,2
-14.8,143.97,Birds,2
-34.58,150.46,Mammals,2
-31.32,137.24,Birds,2
-34.53,142.67,Birds,2
-43.13,146.74,Birds,2
-32.15,140.73,Mammals,2
-30.51,143.13,Birds,2
-30.92,142.44,Mammals,2
-30.91,130.34,Mammals,2
-30.72,144.04,Birds,2
-17.89,128.95,Birds,2
-18.18,146.21,Mammals,2
-30.62,150.69,Mammals,2
-18.76,146.45,Mammals,2
-30.58,134.62,Birds,2
-18.83,146.01,Amphibians,2
-19.11,134.04,Birds,2
-24.31,134.81,Birds,2
-19.46,140.57,Birds,2
-36.84,148.02,Mammals,2
-24.25,150.79,Birds,2
-22.67,150.55,Reptiles,2
-28.42,153.61,Amphibians,2
-24.85,136.88,Birds,2
-25.95,132.93,Birds,2
-32.94,150.06,Plants,2
-33.46,149.13,Mammals,2
-25.02,114.41,Reptiles,2
-37.22,144.88,Birds,2
-28.9,142.86,Birds,2
-28.51,133.29,Birds,2
-33.89,150.81,Plants,2
-33.6,138.73,Reptiles,2
-25.75,121.9,Birds,2
-26.95,139.77,Mammals,2
-27.78,125.37,Birds,2
-28.68,151.89,Mammals,2
-24.73,148.02,Birds,2
-31.83,151.24,Reptiles,2
-24.61,149.75,Birds,2
-34.04,150.08,Plants,2
-24.62,144.89,Birds,2
-25.7,152.28,Plants,2
-29.37,151.55,Birds,2
-29.24,151.61,Birds,2
-35.27,150.66,Mammals,2
-28.42,149.18,Birds,1
-26.95,114.53,Birds,1
-28.48,135.98,Birds,1
-32.02,151.04,Mammals,1
-16.45,144.73,Birds,1
-33.21,151.56,Plants,1
-34.85,149.07,Mammals,1
-41.36,147.69,Birds,1
-31.23,152.8,Amphibians,1
-29.39,149.93,Birds,1
-17.04,140.33,Birds,1
-32.21,148.98,Mammals,1
-28.54,151.52,Plants,1
-30.89,152.03,Birds,1
-17.44,145.76,Amphibians,1
-17.56,138.64,Birds,1
-26.77,134.28,Birds,1
-28.57,144.78,Plants,1
-36.54,142.17,Mammals,1
-18.13,145.72,Amphibians,1
-35.44,148.85,Plants,1
-18.31,122.32,Reptiles,1
-18.31,122.32,Mammals,1
-41.28,146.15,Birds,1
-31.43,132.12,Birds,1
-34.58,150.46,Reptiles,1
-28.13,150.32,Birds,1
-42.36,145.69,Birds,1
-42.57,145.62,Plants,1
-13.42,132.02,Reptiles,1
-33.52,149.77,Mammals,1
-36.14,149.11,Amphibians,1
-31.83,151.24,Birds,1
-12.74,136.23,Birds,1
-32.0,151.52,Mammals,1
-42.57,145.62,Amphibians,1
-12.72,131.18,Reptiles,1
-37.76,140.66,Mammals,1
-37.67,146.41,Plants,1
-43.13,146.74,Reptiles,1
